trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-57.69415065481298,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",25,8,-132.98659531130775,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9025}",25,0,-80.4454057884427,"{0: 18, 1: 4, 2: 0, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-150.7021977672614,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-165.98564210448927,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7737809374999998}",35,0,-119.3086706641398,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-131.44650871339172,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,7,-71.84740901512937,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,5,0.9369977315782693,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-41.22039679686887,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,15,6.877514485599962,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5688000922764597}",20,0,-23.57778035702455,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,0,-124.33679203858195,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,7,-5.055501326735623,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
