trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.0273862234949,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.42233786088755,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.713139555196,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.17236835588885,"{0: 14, 1: 8, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,20,-66.63453488546625,"{0: 9, 1: 4, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.23097444673297,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.2096012481953,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.444263698126,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.86552435193624,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.37366292732234,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.36377117450374,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.357206500901235,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.13901437940535,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.2708264874941,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.254210537117746,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.38197009704288,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.19886557567146,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.39758537439347,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-104.23642566990966,"{0: 24, 1: 2, 2: 6, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.76453228765035,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.15384384908752,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.8292075791044,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,14,-30.913573721737606,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,17,-56.6261549966884,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.85839473698628,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.16595250485804,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-274.5824973467749,"{0: 15, 1: 5, 2: 11, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.0495164531843,"{0: 10, 1: 2, 2: 12, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.63573979447105,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.42122343913832,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
